id_cliente;id_pedido;id_intregador;data;hora_pedido;hora_entrega;hora_fim
1;1;1;2022-08-11;09:55:52;08:03:00;08:03:00
2;2;4;2022-08-11;09:55:52;08:03:00;08:03:00
3;3;2;2022-08-11;09:55:52;08:03:00;08:03:00
4;4;4;2022-08-11;09:55:52;08:03:00;08:03:00
5;5;2;2022-08-11;09:55:52;08:03:00;08:03:00
6;6;1;2022-08-11;09:55:52;08:03:00;08:03:00
7;7;2;2022-08-11;09:55:52;08:03:00;08:03:00
8;8;3;2022-08-11;09:55:52;08:03:00;08:03:00
9;9;1;2022-08-11;09:55:52;08:03:00;08:03:00
10;10;3;2022-08-11;09:55:52;08:03:00;08:03:00
11;11;1;2022-08-11;09:55:52;08:03:00;08:03:00
12;12;3;2022-08-11;09:55:52;08:03:00;08:03:00
13;13;1;2022-08-11;09:55:52;08:03:00;08:03:00
14;14;1;2022-08-11;09:55:52;08:03:00;08:03:00
15;15;1;2022-08-11;09:55:52;08:03:00;08:03:00
16;16;1;2022-08-11;09:55:52;08:03:00;08:03:00
17;17;3;2022-08-11;09:55:52;08:03:00;08:03:00
18;18;1;2022-08-11;09:55:52;08:03:00;08:03:00
19;19;3;2022-08-11;09:55:52;08:03:00;08:03:00
20;20;1;2022-08-11;09:55:52;08:03:00;08:03:00
21;21;3;2022-08-11;09:55:52;08:03:00;08:03:00
22;22;3;2022-08-11;09:55:52;08:03:00;08:03:00
23;23;2;2022-08-11;09:55:52;08:03:00;08:03:00
24;24;1;2022-08-11;09:55:52;08:03:00;08:03:00
25;25;1;2022-08-11;09:55:52;08:03:00;08:03:00
26;26;4;2022-08-11;09:55:52;08:03:00;08:03:00
27;27;4;2022-08-11;09:55:52;08:03:00;08:03:00
28;28;2;2022-08-11;09:55:52;08:03:00;08:03:00
29;29;2;2022-08-11;09:55:52;08:03:00;08:03:00
