ni,aquisicao,denominacao,valor,img
10001,06/10/2009,SERVIDOR ESCOLA MX203 ITAUTEC,22501.08,servidor.png
10002,06/10/2009,MONITOR VIDEO COLOR 15L1553S ITAUTEC,325.00,monitor.png
10003,22/12/2009,ACCESS POINT CORP 3COM 3CRWE776075,712.75,access.png
10004,05/11/2010,PROJETOR MULTIMÍDIA / NEC,1423.51,projetor.png
10005,19/02/2011,PROJETOR MULTIM.P/SALA/LAORAT/OPTOMA,1430.00,projetor.png
10006,22/02/2011,MICROCOMPUTADOR INFOWAY SM3330/ITAUTEC,1085.00,microcomputador.png
10007,22/02/2011,MONITOR COLOR LCD 19 W1942/ITAUTEC,380.00,monitor.png
10008,13/04/2011,MICROCOMPUTADOR I7 8GB 500GB/LENOVO,2076.68,microcomputador.png
10009,13/04/2011,MONITOR COLOR LCD 22THINKVISION/LENOVO,730.32,monitor.png
10010,04/05/2011,MICROCOMPUTADOR POST-AT (I3PF)/POSITIVO,1045.00,microcomputador.png
10011,04/05/2011,MONITOR LCD 18.5 936SWA/ POSITIVO,404.00,monitor.png
10012,25/01/2013,NOBREAK SENOIDAL 2KVA /ACTPOWER,2000.00,nobreak.png
10013,08/02/2013,TELEVISÃO INTERATIVA 3D 60P / LG,6875.00,televisao.png
10014,20/02/2013,SERVIDOR UNIDADES VERSÃO 2012/DELL T420,21977.81,servidor.png
10015,01/03/2013,PROJETOR MULTIMÍDIA C/ SUPORTE / EPSON,1401.59,projetor.png
10016,05/03/2013,PROJETOR MULTIMÍDIA INTERATIVO / EPSON,7201.38,projetor.png
10017,07/03/2013,MONITOR LED 18.5P / POSITIVO P971WAL,242.00,monitor.png
10018,25/03/2013,MICROCOMPUTADOR POSITIVO MASTER D510,2053.27,microcomputador.png
10019,25/03/2013,MONITOR LED 21.5P / LG E2241V,300.00,monitor.png
10020,07/05/2014,APARELHO DE TELEFONE IP /GRANDSTREAM,394.10,aparelho.png
10021,12/05/2014,SWITCH L2 - 24 PORTAS - UNIDADES /CISCO,2100.45,switch.png
10022,16/05/2014,NOTEBOOK HP NOTE 440,3590.00,notebook.png
10023,09/07/2014,MICROCOMPUTADOR EDUCACIONAL/POSITIVO,3088.79,microcomputador.png
10024,09/07/2014,MONITOR LED 21.5/LG,310.21,monitor.png
10025,02/10/2014,ACCESS POINT P/USO EDUCACIONAL / CISCO,2237.50,access.png
10026,10/02/2015,MICROCOMPUTADOR POSITIVO MASTER D360,1723.00,microcomputador.png
10027,10/02/2015,MONITOR LED 18.5P POSITIVO,302.00,monitor.png
10028,15/06/2015,ROTEADOR MODULAR C/SOFTWARE IP /CISCO,13214.28,roteador.png
10029,12/01/2016,MICROCOMPUTADOR EDUCACIONAL BÁSICO / DELL,3125.08,microcomputador.png
10030,31/01/2016,MONITOR PROFESSIONAL 23 POLEG. WIDESCREEN / DELL,354.95,monitor.png
10031,09/04/2019,MONITOR LED 21.5 / LG,529.58,monitor.png
10032,09/04/2019,MICROCOMPUTADOR ADMINISTRATIVO/POSITIVO,3038.89,microcomputador.png
10033,10/01/2020,MICROCOMPUTADOR CORPORATIVO,2819.24,microcomputador.png
10034,31/01/2020,MONITOR DE VÍDEO 24 POLEGADAS - DELL,1469.74,monitor.png
10035,31/01/2020,MONITOR 24 POLEGADAS,1508.76,monitor.png
