Data;Õtem;Respons·vel;Curso;Valor
02/10/2021;GERADOR FUN√á√ÉO DE BANCADA 20MHZ/MINIPA;Daniel;TÈcnico em EletrÙnica;R$ 1.000,00
02/10/2021;GERADOR FUN√á√ÉO DE BANCADA 20MHZ/MINIPA;Daniel;TÈcnico em MecatrÙnica;R$ 1.149,99 
02/10/2021;GERADOR FUN√á√ÉO DE BANCADA 20MHZ/MINIPA;Daniel;TÈcnico em EletrÙnica;R$ 1.149,99 
02/10/2021;OSCILOSC√ìPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.839,90 
02/10/2021;OSCILOSC√ìPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;TÈcnico em EletrÙnica;R$ 1.839,90 
02/10/2021;OSCILOSC√ìPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;TÈcnico em MecatrÙnica;R$ 1.839,90 
02/10/2021;OSCILOSC√ìPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;TÈcnico em EletrÙnica;R$ 1.839,90 
02/10/2021;OSCILOSC√ìPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.839,90 
12/08/2021;CONJUNTO DID√ÅTICO B√ÅSICO DE AUTOMA√á√ÉO IN;Daniel;TÈcnico em Desenvolvimento de Sistemas;R$ 8.769,00 
12/08/2021;CONJUNTO ESTUDO ELETR√îN.ANAL. DIDATECH;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 2.874,00 
26/06/2021;MULT√çMETRO ANAL√ìGICO (ANEXO);Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 50,00 
26/06/2021;MULT√çMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 162,75 
26/06/2021;MULT√çMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 162,75 
26/06/2021;MULT√çMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;TÈcnico em MecatrÙnica;R$ 162,75 
26/06/2021;MULT√çMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 162,75 
26/06/2021;MULT√çMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;TÈcnico em MecatrÙnica;R$ 162,75 
18/06/2021;BANCADA P/ M√ÅQUINA  LIMAR E FURAR DC 1465;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 890,00 
04/06/2021;PAINEL DE FERRAMENTAS PARA BANCADA DC 99;Daniel;TÈcnico em Desenvolvimento de Sistemas;R$ 394,00 
04/06/2021;PAINEL DE FERRAMENTAS PARA BANCADA DC 99;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 394,00 
26/05/2021;BALC√ÉO P/ ATENDIMENTO SEMI-C√çRCULO DC-562;Daniel;Aprendizagem Ind˙strial Almoxarifado;R$ 1.400,00 
12/05/2021;CHAVE DE PARTIDA SUAVE SOFT START;Daniel;TÈcnico em MecatrÙnica;R$ 556,70 
11/05/2021;INVERSOR DE FREQ√ú√äNCIA TRIF√ÅSICO 1CV;Daniel;TÈcnico em MecatrÙnica;R$ 530,74 
11/05/2021;INVERSOR DE FREQ√ú√äNCIA TRIF√ÅSICO 1CV;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 530,74 
11/05/2021;INVERSOR DE FREQ√ú√äNCIA TRIF√ÅSICO 1CV;Daniel;TÈcnico em EletrÙnica;R$ 530,74 
11/05/2021;INVERSOR DE FREQ√ú√äNCIA TRIF√ÅSICO 1CV;Daniel;TÈcnico em Desenvolvimento de Sistemas;R$ 530,75 
08/05/2021;SISTEMA DE DESENVOLVIMENTO DE L√ìGICA CPLD;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 831,60 
08/05/2021;SISTEMA DE DESENVOLVIMENTO DE L√ìGICA CPLD;Daniel;Aprendizagem Ind˙strial Almoxarifado;R$ 831,60 
06/05/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS;Daniel;TÈcnico em EletrÙnica;R$ 1.240,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 312,00 
